TIMESTAMP,MOISTURE
1571791636,384
1571791637,381
1571791639,381
1571791640,384
1571791642,386
1571791643,380
1571791645,381
1571791646,388
1571791647,387
1571791649,381
1571791650,387
1571791652,388
1571791653,385
1571791655,382
1571791656,384
1571791658,384
1571791659,387
1571791660,384
1571791662,382
1571791663,388
1571791665,388
1571791666,386
1571791668,386
1571791669,388
1571791671,388
1571791672,381
1571791674,380
1571791675,381
1571791676,385
1571791678,385
1571791679,384
1571791681,387
1571791682,387
1571791684,381
1571791685,381
1571791687,387
1571791688,388
1571791690,381
1571791691,382
1571791692,381
1571791694,387
1571791695,388
1571791697,381
1571791698,382
1571791700,385
1571791701,385
1571791703,381
1571791704,387
1571791706,381
1571791707,388
1571791709,384
1571791711,381
1571791714,382
1571791716,382
1571791717,386
1571791719,388
1571791720,381
1571791721,385
1571791723,387
1571791725,382
1571791726,386
1571791727,384
1571791729,382
1571791730,381
1571791732,381
1571791733,382
1571791735,381
1571791736,382
1571791737,381
1571791739,387
1571791741,388
1571791742,381
1571791743,388
1571791745,384
1571791746,381
1571791748,382
1571791749,382
1571791751,384
1571791752,382
1571791754,386
1571791755,385
1571791756,387
1571791758,385
1571791759,387
1571791761,384
1571791762,382
1571791764,381
1571791765,382
1571791767,388
1571791768,382
1571791770,382
1571791771,387
1571791773,381
1571791774,386
1571791775,389
1571791777,386
1571791778,386
1571791780,384
1571791781,382
1571791783,384
1571791784,382
1571791786,384
1571791787,382
1571791788,386
1571791790,384
1571791791,386
1571791793,385
1571791794,385
1571791796,387
1571791797,388
1571791799,382
1571791800,382
1571791802,387
1571791803,388
1571791804,389
1571791806,385
1571791807,384
1571791809,385
1571791810,384
1571791812,388
1571791813,386
1571791815,384
1571791816,388
1571791818,385
1571791819,382
1571791821,386
1571791822,389
1571791823,384
1571791825,382
1571791826,382
1571791828,381
1571791829,389
1571791831,387
1571791832,385
1571791834,388
1571791835,385
1571791836,382
1571791838,382
1571791839,384
1571791841,382
1571791842,389
1571791844,385
1571791845,388
1571791847,389
1571791848,386
1571791850,382
1571791851,387
1571791853,382
1571791854,382
1571791855,388
1571791857,387
1571791858,386
1571791860,388
1571791861,387
1571791863,388
1571791864,387
1571791866,382
1571791867,381
1571791869,385
1571791870,387
1571791871,382
1571791873,382
1571791880,381
1571791882,381
1571791883,381
1571791885,385
1571791886,388
1571791888,384
1571791891,384
1571791893,384
1571791895,385
1571791896,389
1571791898,389
1571791899,384
1571791901,387
1571791902,381
1571791904,382
1571791905,381
1571791906,384
1571791908,381
1571791909,381
1571791911,387
1571791912,381
1571791914,388
1571791915,380
1571791917,382
1571791918,388
1571791920,381
1571791921,381
1571791923,384
1571791924,382
1571791925,381
1571791927,382
1571791928,385
1571791930,385
1571791931,381
1571791933,381
1571791934,381
1571791936,381
1571791938,381
1571791939,382
1571791940,384
1571791942,388
1571791943,387
1571791944,381
1571791946,387
1571791947,388
1571791949,387
1571791950,382
1571791952,381
1571791953,384
1571791955,388
1571791957,382
1571791958,385
1571791959,387
1571791961,382
1571791962,388
1571791964,381
1571791965,384
1571791966,387
1571791968,387
1571791969,385
1571791971,386
1571791972,382
1571791974,385
1571791975,387
1571791977,387
1571791978,380
1571791979,384
1571791981,380
1571791983,382
1571791984,387
1571791985,384
1571791987,387
1571791988,386
1571791990,381
1571791991,381
1571791992,381
1571791994,385
1571791996,382
1571791997,380
1571791998,380
1571792000,384
1571792001,380
1571792003,379
1571792004,379
1571792006,386
1571792007,384
1571792008,379
1571792010,387
1571792011,381
1571792013,380
1571792014,386
1571792016,381
1571792017,380
1571792019,384
1571792020,379
1571792022,387
1571792023,387
1571792025,381
1571792026,385
1571792027,379
1571792029,387
1571792030,381
1571792032,380
1571792033,386
1571792035,380
1571792036,381
1571792038,384
1571792039,386
1571792041,387
1571792042,380
1571792044,380
1571792045,381
1571792046,380
1571792048,380
1571792049,382
1571792051,382
1571792052,381
1571792054,379
1571792055,379
1571792057,380
1571792058,386
1571792059,386
1571792061,385
1571792062,382
1571792064,384
1571792065,386
1571792067,380
1571792068,386
1571792070,387
1571792071,384
1571792073,386
1571792074,381
1571792076,379
1571792077,381
1571792079,380
1571792080,384
1571792081,385
1571792083,384
1571792084,379
1571792086,380
1571792087,379
1571792089,386
1571792090,382
1571792092,381
1571792093,386
1571792094,384
1571792096,382
1571792097,385
1571792099,382
1571792100,381
1571792102,382
1571792103,386
1571792105,380
1571792106,379
1571792108,380
1571792109,382
1571792110,379
1571792112,379
1571792113,386
1571792115,380
1571792116,378
1571792118,379
1571792119,381
1571792121,378
1571792122,379
1571792124,380
1571792125,384
1571792126,380
1571792128,380
1571792129,380
1571792131,385
1571792132,384
1571792134,385
1571792135,379
1571792137,379
1571792138,378
1571792140,378
1571792141,380
1571792142,378
1571792144,381
1571792145,385
1571792147,378
1571792148,385
1571792150,380
1571792151,379
1571792153,381
1571792154,386
1571792156,379
1571792157,384
1571792158,385
1571792160,384
1571792161,379
