TIMESTAMP,MOISTURE
1571616194,296
1571616195,295
1571616196,293
1571616197,294
1571616198,294
1571616199,294
1571616200,294
1571616201,293
1571616203,294
1571616204,294
1571616205,293
1571616206,292
1571616207,294
1571616208,296
1571616209,297
1571616210,293
1571616211,292
1571616213,293
1571616214,291
1571616215,293
1571616216,295
1571616217,294
1571616218,296
1571616219,294
1571616220,295
1571616221,296
1571616223,294
1571616224,291
1571616225,291
1571616226,295
1571616227,294
1571616228,293
1571616229,293
1571616230,296
1571616231,292
1571616233,293
1571616234,293
1571616235,296
1571616236,294
1571616237,296
1571616238,294
1571616239,295
1571616240,291
1571616241,291
1571616242,293
1571616244,294
1571616245,292
1571616246,293
1571616247,294
1571616248,291
1571616249,292
1571616250,295
1571616251,292
1571616253,293
1571616254,296
1571616255,293
1571616256,297
1571616257,293
1571616258,294
1571616259,293
1571616260,292
1571616261,294
1571616262,296
1571616264,294
1571616265,296
1571616266,296
1571616267,297
1571616268,295
1571616269,292
1571616270,295
1571616271,292
1571616272,295
1571616274,295
1571616275,292
1571616276,295
1571616277,292
1571616278,291
1571616279,293
1571616280,292
1571616281,294
1571616282,294
1571616284,294
1571616285,293
1571616286,291
1571616287,294
1571616288,292
1571616289,291
1571616290,296
1571616291,292
1571616292,294
1571616294,296
1571616295,293
1571616296,297
1571616297,295
1571616298,294
1571616299,296
1571616300,291
1571616301,294
1571616302,294
1571616304,295
1571616305,296
1571616306,295
1571616307,293
1571616308,293
1571616309,294
1571616310,294
1571616311,296
1571616312,294
1571616314,296
1571616315,294
1571616316,294
1571616317,292
1571616318,293
1571616319,295
1571616320,292
1571616321,294
1571616322,296
1571616324,292
1571616325,291
1571616326,291
1571616327,291
1571616328,292
1571616329,296
1571616330,295
1571616331,294
1571616332,292
1571616334,294
1571616335,293
1571616336,294
1571616337,293
1571616338,292
1571616339,296
1571616340,293
1571616341,295
1571616342,293
1571616344,292
1571616345,292
1571616346,296
1571616347,296
1571616348,294
1571616349,295
1571616350,293
1571616351,296
1571616352,295
1571616354,292
1571616355,296
1571616356,294
1571616357,294
1571616358,295
1571616359,293
1571616360,296
1571616361,294
1571616362,294
1571616364,292
1571616365,294
1571616366,296
1571616367,296
1571616368,293
1571616369,295
1571616370,294
1571616371,296
1571616372,293
1571616374,292
1571616375,297
1571616376,295
1571616377,296
1571616378,291
1571616379,291
1571616380,295
1571616381,292
1571616382,293
1571616384,292
1571616385,294
1571616386,296
1571616387,293
1571616388,291
1571616389,294
1571616390,294
1571616391,295
1571616392,294
1571616394,292
1571616395,296
1571616396,293
1571616397,293
1571616398,293
1571616399,294
1571616400,291
1571616401,295
1571616402,292
1571616404,295
1571616405,294
1571616406,293
1571616407,295
1571616408,295
1571616409,293
1571616410,294
1571616411,296
1571616412,296
1571616414,294
1571616415,292
1571616416,294
1571616417,296
1571616418,292
1571616419,295
1571616420,294
1571616421,294
1571616422,294
1571616424,296
1571616425,294
1571616426,294
1571616427,294
1571616428,296
1571616429,296
1571616430,296
1571616431,294
1571616432,293
1571616434,291
1571616435,296
1571616436,296
1571616437,292
1571616438,295
1571616439,292
1571616440,294
1571616441,294
1571616442,294
1571616444,296
1571616445,291
1571616446,293
1571616447,296
1571616448,291
1571616449,296
1571616450,295
1571616451,294
1571616452,296
1571616454,296
1571616455,292
1571616456,294
1571616457,293
1571616458,291
1571616459,292
1571616460,292
1571616461,296
1571616462,293
1571616464,295
1571616465,295
1571616466,294
1571616467,292
1571616468,296
1571616469,293
1571616470,295
1571616471,296
1571616472,294
1571616474,295
1571616475,295
1571616476,292
1571616477,295
1571616478,293
1571616479,293
1571616480,292
1571616481,296
1571616482,294
1571616484,293
1571616485,296
1571616486,297
1571616487,296
1571616488,296
1571616489,295
1571616490,296
1571616491,294
1571616492,292
1571616494,295
1571616495,295
1571616496,292
1571616497,292
1571616498,296
1571616499,295
1571616500,293
1571616501,295
1571616502,295
1571616504,294
1571616505,294
1571616506,294
1571616507,293
1571616508,291
1571616509,295
1571616510,296
1571616511,295
1571616512,296
1571616514,295
1571616515,291
1571616516,292
1571616517,294
1571616518,296
1571616519,295
1571616520,294
1571616521,295
1571616522,293
1571616524,292
1571616525,294
1571616526,295
1571616527,293
1571616528,293
1571616529,293
1571616530,294
1571616531,295
1571616532,295
1571616534,294
1571616535,292
1571616536,293
1571616537,293
1571616538,292
1571616539,294
1571616540,291
1571616541,293
1571616542,293
1571616544,292
1571616545,295
1571616546,293
1571616547,296
1571616548,295
1571616549,295
1571616550,296
1571616551,292
1571616552,291
1571616554,296
1571616555,291
1571616556,294
1571616557,291
1571616558,293
1571616559,296
1571616560,295
1571616561,297
1571616562,296
1571616564,293
1571616565,292
1571616566,296
1571616567,295
1571616568,293
1571616569,292
1571616570,294
1571616571,291
1571616572,295
1571616574,294
1571616575,296
1571616576,296
1571616577,296
1571616578,296
1571616579,296
1571616580,296
1571616581,292
1571616582,295
1571616584,293
1571616585,295
1571616586,292
1571616587,295
1571616588,291
1571616589,296
1571616590,296
1571616591,294
1571616593,293
1571616594,294
1571616595,296
1571616596,292
1571616597,291
1571616598,291
1571616599,296
1571616600,295
1571616601,294
1571616603,297
1571616604,296
1571616605,295
1571616606,296
1571616607,293
1571616608,291
1571616609,295
1571616610,296
1571616611,292
1571616612,296
1571616614,293
1571616615,296
1571616616,293
1571616617,294
1571616618,292
1571616619,294
1571616620,294
1571616621,296
1571616622,294
1571616624,295
1571616625,292
1571616626,291
1571616627,296
1571616628,294
1571616629,295
1571616630,293
1571616631,294
1571616632,294
1571616634,292
1571616635,293
1571616636,292
1571616637,293
1571616638,292
1571616639,293
1571616640,296
1571616641,295
1571616643,294
1571616644,296
1571616645,294
1571616646,295
1571616647,291
1571616648,296
1571616649,296
1571616650,295
1571616651,291
1571616653,293
1571616654,291
1571616655,294
1571616656,292
1571616657,296
1571616658,296
1571616659,292
1571616660,294
1571616661,296
1571616663,296
1571616664,296
1571616665,294
1571616666,294
1571616667,292
1571616668,295
1571616669,296
1571616670,297
