TIMESTAMP,MOISTURE
1571849180,274
1571849182,277
1571849183,277
1571849185,272
1571849186,272
1571849188,272
1571849189,273
1571849191,272
1571849193,271
1571849194,279
1571849196,273
1571849197,277
1571849199,273
1571849201,280
1571849202,274
1571849204,276
1571849206,273
1571849207,273
1571849209,274
1571849210,277
1571849212,278
1571849214,279
1571849215,276
1571849217,274
1571849219,277
1571849220,278
1571849222,273
1571849224,274
1571849225,274
1571849237,278
1571849238,272
1571849240,279
1571849242,277
1571849243,272
1571849245,277
1571849246,276
1571849248,272
1571849250,278
1571849251,273
1571849254,280
1571849276,276
1571849284,272
1571849285,274
1571849287,276
1571849288,277
1571849290,280
1571849292,272
1571849293,277
1571849295,279
1571849296,273
1571849298,272
1571849300,277
1571849301,274
1571849303,273
1571849305,276
1571849307,273
1571849309,273
1571849314,278
1571849316,280
1571849317,279
1571849319,279
1571849321,272
1571849322,273
1571849324,273
1571849346,273
1571849359,276
1571849361,272
1571849363,280
1571849364,272
1571849366,273
1571849368,274
1571849369,276
1571849371,276
1571849373,278
1571849374,272
1571849376,278
1571849377,272
1571849379,276
1571849380,274
1571849382,273
1571849384,274
1571849385,273
1571849387,273
1571849389,273
1571849390,273
1571849392,276
1571849393,273
1571849395,274
1571849397,279
1571849400,274
1571849403,273
1571849405,274
1571849406,273
1571849408,277
1571849410,277
1571849411,276
1571849413,272
1571849414,274
1571849416,273
1571849418,279
1571849419,272
1571849421,276
1571849423,273
1571849424,276
1571849426,278
1571849427,277
1571849429,276
1571849431,279
1571849432,273
1571849434,273
1571849435,273
1571849437,274
1571849439,278
1571849440,274
1571849442,278
1571849443,277
1571849445,276
1571849447,276
1571849448,277
1571849450,278
1571849452,278
1571849453,277
1571849455,274
1571849456,280
1571849458,278
1571849460,279
1571849461,276
1571849463,277
1571849464,272
1571849466,272
1571849468,279
1571849469,273
1571849471,274
1571849473,280
1571849474,279
1571849476,274
1571849477,272
1571849479,273
1571849481,276
1571849482,272
1571849484,277
1571849486,279
1571849487,273
1571849489,274
1571849490,277
1571849492,276
1571849494,273
1571849495,274
1571849497,279
1571849498,272
1571849500,277
1571849502,277
1571849503,279
1571849505,279
1571849507,272
1571849508,273
1571849510,272
1571849511,279
1571849513,277
1571849515,274
1571849516,279
1571849518,274
1571849519,274
1571849521,279
1571849523,274
1571849524,276
1571849526,274
1571849528,272
1571849529,274
1571849531,278
1571849532,277
1571849534,273
1571849536,273
1571849537,274
1571849539,276
1571849541,273
1571849542,278
1571849544,278
1571849545,273
1571849547,279
1571849549,276
1571849550,273
1571849552,279
1571849553,280
1571849555,273
1571849557,277
1571849558,278
1571849560,272
1571849562,273
1571849563,280
1571849565,274
1571849566,280
1571849568,274
1571849570,273
1571849571,272
1571849573,277
1571849574,273
1571849576,276
1571849578,279
