TIMESTAMP,MOISTURE
1571701104,550
1571701105,546
1571701107,544
1571701108,544
1571701109,547
1571701110,548
1571701112,549
1571701113,546
1571701114,547
1571701116,545
1571701117,544
1571701118,543
1571701119,549
1571701121,546
1571701122,545
1571701123,549
1571701125,543
1571701126,546
1571701127,545
1571701138,548
1571701141,549
1571701149,545
1571701150,547
1571701152,546
1571701153,544
1571701154,549
1571701156,548
1571701157,544
1571701158,545
1571701159,548
1571701161,545
1571701162,549
1571701163,543
1571701164,549
1571701166,548
1571701167,544
1571701168,542
1571701170,545
1571701171,548
1571701172,548
1571701174,544
1571701175,543
1571701176,544
1571701177,544
1571701178,549
1571701180,546
1571701181,547
1571701182,544
1571701184,548
1571701185,544
1571701186,542
1571701188,546
1571701189,546
1571701190,542
1571701191,544
1571701193,545
1571701194,548
1571701195,548
1571701196,544
1571701198,549
1571701199,549
1571701200,548
1571701202,545
1571701203,543
1571701204,542
1571701205,542
1571701207,545
1571701208,542
1571701209,542
1571701211,548
1571701212,548
1571701213,548
1571701215,543
1571701216,542
1571701217,544
1571701218,542
1571701220,544
1571701221,542
1571701222,546
1571701224,544
1571701225,544
1571701226,543
1571701227,544
1571701229,545
1571701230,546
1571701231,548
1571701233,543
1571701234,542
1571701235,543
1571701236,544
1571701238,542
1571701239,543
1571701240,542
1571701242,545
1571701243,544
1571701244,542
1571701245,545
1571701247,541
1571701248,544
1571701249,544
1571701251,546
1571701252,542
1571701253,542
1571701254,544
1571701256,547
1571701257,542
1571701258,544
1571701260,543
1571701261,541
1571701262,543
1571701263,545
1571701265,548
1571701266,542
1571701267,546
1571701269,545
1571701270,547
1571701271,547
1571701272,545
1571701274,546
1571701275,543
1571701276,543
1571701277,545
1571701279,548
1571701280,542
1571701281,544
1571701283,544
1571701284,546
1571701285,547
1571701286,543
1571701288,543
1571701289,543
1571701290,544
1571701292,543
1571701293,544
1571701294,542
1571701295,542
1571701297,542
1571701298,542
1571701299,544
1571701301,543
1571701302,542
1571701303,541
1571701304,545
1571701306,547
1571701307,540
1571701308,542
1571701310,540
1571701311,547
1571701312,542
1571701313,543
1571701315,542
1571701316,543
1571701317,544
1571701319,544
1571701320,541
1571701321,548
1571701322,545
1571701324,543
1571701325,547
1571701326,548
1571701328,543
1571701329,543
1571701330,546
1571701332,544
1571701333,540
1571701334,540
1571701335,541
1571701337,543
1571701338,544
1571701339,541
1571701340,544
1571701342,541
1571701343,541
1571701344,546
1571701346,545
1571701347,544
1571701348,542
1571701349,544
1571701351,544
1571701352,544
1571701353,545
1571701355,541
1571701356,541
1571701357,542
1571701358,541
1571701360,547
1571701361,543
1571701362,543
1571701364,541
1571701365,541
1571701366,545
1571701367,541
1571701369,540
1571701370,546
1571701371,546
1571701373,540
1571701374,540
1571701375,541
1571701376,542
1571701378,545
1571701379,542
1571701380,540
1571701382,546
1571701383,541
1571701384,542
1571701386,546
1571701387,541
1571701388,545
1571701389,541
1571701391,542
1571701392,543
1571701393,544
1571701394,541
1571701396,545
1571701397,545
1571701398,541
1571701399,540
1571701401,547
1571701402,540
1571701403,541
1571701405,546
1571701406,546
1571701407,545
1571701408,544
1571701410,543
1571701411,541
1571701412,540
1571701414,543
1571701415,541
1571701416,541
1571701418,548
1571701419,542
1571701420,545
1571701421,546
1571701423,545
1571701424,540
1571701425,544
1571701426,543
1571701428,546
1571701429,545
1571701430,543
1571701432,541
1571701433,545
1571701434,544
1571701435,546
1571701437,542
1571701438,546
1571701439,547
1571701441,540
1571701442,541
1571701443,547
1571701444,545
1571701446,541
1571701447,542
1571701448,544
1571701450,546
1571701451,543
1571701452,538
1571701453,547
1571701455,540
1571701456,541
1571701457,541
1571701459,544
1571701460,546
1571701461,541
1571701462,547
1571701464,544
1571701465,546
1571701466,541
1571701468,544
1571701469,544
1571701470,540
1571701472,544
1571701473,546
1571701474,544
1571701475,540
1571701477,543
1571701478,546
1571701479,547
1571701481,543
1571701482,543
1571701483,541
1571701484,544
1571701486,547
1571701488,545
1571701489,540
1571701495,541
1571701496,544
1571701497,541
1571701498,543
1571701500,547
1571701501,541
1571701502,544
1571701504,540
1571701505,544
1571701506,540
1571701507,545
1571701509,543
1571701510,541
1571701511,540
1571701513,541
1571701514,546
1571701515,544
1571701516,544
1571701518,541
1571701519,543
1571701520,545
1571701522,545
1571701523,545
